"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"16.02.2020","9.929,7","9.901,0","10.037,0","9.651,4","6,93K","0,29%"
"15.02.2020","9.901,0","10.335,0","10.370,0","9.800,3","6,40K","-4,20%"
"14.02.2020","10.335,0","10.222,0","10.371,0","10.101,0","4,13K","1,11%"
"13.02.2020","10.222,0","10.338,0","10.489,0","10.080,0","8,98K","-1,13%"
"12.02.2020","10.339,0","10.249,0","10.458,0","10.238,0","8,71K","0,90%"
"11.02.2020","10.247,0","9.851,2","10.316,0","9.720,0","8,45K","4,03%"
"10.02.2020","9.850,2","10.151,5","10.187,0","9.737,8","8,52K","-2,96%"
"09.02.2020","10.151,0","9.877,3","10.161,0","9.871,1","9,64K","2,77%"
"08.02.2020","9.877,2","9.805,2","9.920,7","9.657,8","5,53K","0,73%"
"07.02.2020","9.805,2","9.745,0","9.859,6","9.695,5","3,70K","0,62%"
"06.02.2020","9.744,9","9.612,0","9.860,0","9.547,0","8,58K","1,38%"
"05.02.2020","9.612,0","9.197,5","9.731,2","9.180,2","10,77K","4,51%"
"04.02.2020","9.197,4","9.309,2","9.359,8","9.112,5","4,07K","-1,20%"
"03.02.2020","9.309,3","9.353,1","9.625,3","9.247,1","6,72K","-0,47%"
"02.02.2020","9.353,1","9.408,0","9.501,0","9.175,4","6,44K","-0,61%"
"01.02.2020","9.410,6","9.371,3","9.476,4","9.318,1","2,53K","0,46%"
"31.01.2020","9.367,4","9.512,7","9.519,9","9.221,9","4,87K","-1,53%"
"30.01.2020","9.512,7","9.305,1","9.550,0","9.175,7","9,02K","2,24%"
"29.01.2020","9.304,2","9.390,9","9.442,0","9.244,4","4,60K","-0,95%"
"28.01.2020","9.393,7","8.912,1","9.413,0","8.912,1","9,12K","5,41%"
"27.01.2020","8.912,0","8.622,0","9.001,8","8.585,2","6,28K","3,37%"
"26.01.2020","8.621,6","8.351,1","8.622,0","8.303,6","3,52K","3,21%"
"25.01.2020","8.353,7","8.447,1","8.447,2","8.280,0","2,10K","-1,11%"
"24.01.2020","8.447,1","8.403,6","8.521,8","8.247,7","3,51K","0,52%"
"23.01.2020","8.403,5","8.668,9","8.669,3","8.296,9","5,70K","-3,01%"
"22.01.2020","8.663,9","8.734,2","8.799,9","8.580,6","2,35K","-0,80%"
"21.01.2020","8.734,1","8.638,2","8.782,8","8.512,2","3,25K","1,11%"
"20.01.2020","8.638,2","8.698,6","8.741,1","8.519,6","4,11K","-0,64%"
"19.01.2020","8.694,0","8.891,6","9.169,5","8.455,7","12,41K","-2,22%"
"18.01.2020","8.891,5","8.873,1","8.965,0","8.794,2","3,46K","0,18%"
"17.01.2020","8.875,4","8.719,5","8.994,9","8.674,2","9,69K","1,78%"
"16.01.2020","8.720,6","8.810,9","8.839,9","8.579,8","5,31K","-0,99%"
"15.01.2020","8.807,7","8.760,8","8.873,0","8.560,2","8,78K","0,37%"
"14.01.2020","8.775,6","8.104,1","8.829,0","8.099,3","16,57K","8,41%"
"13.01.2020","8.094,5","8.174,9","8.198,3","8.053,6","2,59K","-0,98%"
"12.01.2020","8.174,7","8.013,6","8.174,7","7.951,7","3,21K","2,01%"
"11.01.2020","8.013,8","8.184,3","8.271,9","7.994,6","4,25K","-1,99%"
"10.01.2020","8.176,3","7.817,4","8.177,8","7.678,5","7,86K","4,59%"
"09.01.2020","7.817,5","8.036,8","8.036,8","7.756,2","4,67K","-2,73%"
"08.01.2020","8.036,8","8.158,2","8.442,0","7.882,8","11,76K","-1,39%"
"07.01.2020","8.150,0","7.759,5","8.200,1","7.741,9","12,35K","5,05%"
"06.01.2020","7.757,9","7.364,7","7.784,9","7.358,0","8,54K","5,34%"
"05.01.2020","7.364,6","7.370,3","7.509,9","7.315,8","4,45K","-0,07%"
"04.01.2020","7.369,8","7.371,8","7.422,0","7.297,7","4,27K","0,03%"
"03.01.2020","7.367,5","6.989,4","7.437,6","6.909,3","6,68K","5,41%"
"02.01.2020","6.989,4","7.212,7","7.225,2","6.963,0","4,85K","-3,10%"
"01.01.2020","7.212,7","7.208,2","7.268,8","7.185,4","2,07K","0,06%"
